"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: impl","Param: size"
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,93.845368,0.059106,"ops/us",VECTOR,10
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,30.327725,0.061191,"ops/us",VECTOR,100
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,6.260433,0.004061,"ops/us",VECTOR,500
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,3.121952,0.001839,"ops/us",VECTOR,1000
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,1.566649,0.001360,"ops/us",VECTOR,2000
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,61.616450,0.030470,"ops/us",NO_SWAR,10
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,16.972429,0.019428,"ops/us",NO_SWAR,100
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,4.267552,0.001809,"ops/us",NO_SWAR,500
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,2.210332,0.000951,"ops/us",NO_SWAR,1000
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,1.021404,0.000484,"ops/us",NO_SWAR,2000
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,75.977642,0.052915,"ops/us",UNSAFE,10
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,34.867256,0.021874,"ops/us",UNSAFE,100
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,9.443314,0.003599,"ops/us",UNSAFE,500
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,4.938806,0.003777,"ops/us",UNSAFE,1000
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,2.501186,0.001733,"ops/us",UNSAFE,2000
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,70.194848,0.030379,"ops/us",VAR_HANDLE,10
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,30.455860,0.025935,"ops/us",VAR_HANDLE,100
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,8.517298,0.009314,"ops/us",VAR_HANDLE,500
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,4.427091,0.003145,"ops/us",VAR_HANDLE,1000
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,2.463728,0.001364,"ops/us",VAR_HANDLE,2000
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,12.010477,0.007089,"ops/us",JNI,10
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,10.193501,0.051266,"ops/us",JNI,100
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,5.811410,0.010683,"ops/us",JNI,500
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,3.696106,0.002750,"ops/us",JNI,1000
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash32","thrpt",1,5,2.171261,0.001510,"ops/us",JNI,2000
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash64","thrpt",1,5,58.808641,0.038382,"ops/us",NO_SWAR,10
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash64","thrpt",1,5,13.785868,0.008983,"ops/us",NO_SWAR,100
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash64","thrpt",1,5,3.527638,0.035888,"ops/us",NO_SWAR,500
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash64","thrpt",1,5,1.841760,0.001176,"ops/us",NO_SWAR,1000
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash64","thrpt",1,5,0.935639,0.000628,"ops/us",NO_SWAR,2000
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash64","thrpt",1,5,76.690206,0.082129,"ops/us",UNSAFE,10
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash64","thrpt",1,5,32.611361,0.028792,"ops/us",UNSAFE,100
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash64","thrpt",1,5,11.504606,0.004694,"ops/us",UNSAFE,500
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash64","thrpt",1,5,6.849572,0.114516,"ops/us",UNSAFE,1000
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash64","thrpt",1,5,3.289077,0.001559,"ops/us",UNSAFE,2000
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash64","thrpt",1,5,72.507878,0.814962,"ops/us",VAR_HANDLE,10
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash64","thrpt",1,5,31.566952,0.013733,"ops/us",VAR_HANDLE,100
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash64","thrpt",1,5,10.372298,0.018581,"ops/us",VAR_HANDLE,500
"uk.co.openkappa.xxhash.benchmarks.XXHashBenchmark.xxhash64","thrpt",1,5,5.891279,0.006254,"ops/us",VAR_HANDLE,1000
